feature,importance
cast_pressure,0.03263333293791209
lower_mold_temp2,0.007330679255671234
upper_mold_temp1,0.006783391321756072
low_section_speed,0.0058504951715026106
Coolant_temperature,0.005254851093216861
lower_mold_temp1,0.005153464803339301
upper_mold_temp2,0.004472023184814108
sleeve_temperature,0.004416833176729569
facility_operation_cycleTime,0.00209419572442923
high_section_speed,0.0020413533578698133
production_cycletime,0.0018823772855692598
biscuit_thickness,0.001728764385658369
molten_temp,0.0011903007168396272
molten_volume,0.0006297971898533774
EMS_operation_time,0.0005819628344343832
physical_strength,0.0005289609865402375
upper_mold_temp3,0.0004601161405557799
heating_furnace_encoded,6.614232633004941e-05
lower_mold_temp3,3.096673654758763e-05
working_encoded,1.5399310450733327e-05
line_encoded,0.0
emergency_stop_encoded,0.0
tryshot_signal_encoded,0.0
